image_path,image_name,question,answer,position,split
breast_tumors_ct_scan/train_masks/benign (141).png,benign (141).png,What is the position of the tumor in the image?,"The tumor, which is benign, is situated near the center.",The tumor is located in position center and near the center.,train
breast_tumors_ct_scan/train_masks/benign (142).png,benign (142).png,In which part of the image is the tumor located?,The benign tumor is located in the top left and near the center of the image.,The tumor is identified in position top left and close to the center.,train
breast_tumors_ct_scan/train_masks/benign (143).png,benign (143).png,Where is the tumor located in the image?,The benign tumor is situated near the center of the top right position.,In position top right and the tumor is near the center of the image.,train
breast_tumors_ct_scan/train_masks/benign (145).png,benign (145).png,In which region of the image is the tumor found?,"The tumor, classified as benign, is located in the bottom right part of the image near the center.",The tumor appears to be located in position bottom right and which is near the center.,train
breast_tumors_ct_scan/train_masks/benign (146).png,benign (146).png,In which quadrant is the tumor located?,"The benign tumor is found in the top left quadrant, not near the center of the image.",The tumor appears to be located in position top left and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (147).png,benign (147).png,Where is the tumor located in the image?,"The benign tumor is located in the top left area, away from the center.",The tumor is located in position top left and far from the center.,train
breast_tumors_ct_scan/train_masks/benign (148).png,benign (148).png,What is the position of the tumor in the image?,"The tumor, which is benign, is found in the top left region and is not near the center.",The tumor resides in position top left and away from the center.,train
breast_tumors_ct_scan/train_masks/benign (15).png,benign (15).png,Can you describe the location of the tumor in the image?,"The benign tumor is found in the top left position, approximately near the center of the image.",The tumor is found in position top left and which is near the center.,train
breast_tumors_ct_scan/train_masks/benign (150).png,benign (150).png,Where is the tumor located in the image?,The benign tumor is situated in the top right area and close to the center.,The tumor is in position top right and near the center.,train
breast_tumors_ct_scan/train_masks/benign (151).png,benign (151).png,In which region of the image is the tumor found?,"The tumor, which is benign, is situated in the top right portion of the image, not near the center.",The tumor is present in position top right and away from the center.,train
breast_tumors_ct_scan/train_masks/benign (152).png,benign (152).png,In which area is the benign tumor situated?,The benign tumor is situated in the central region of the image.,The tumor is detected in position center and close to the center.,train
breast_tumors_ct_scan/train_masks/benign (153).png,benign (153).png,Where is the tumor located in the image?,"The benign tumor is located in the top right area of the image, away from the center.",In position top right and the tumor is far from the center of the image.,train
breast_tumors_ct_scan/train_masks/benign (154).png,benign (154).png,What is the position of the tumor in the image?,"The tumor, which is benign, is situated in the top right region near the center.",The tumor resides in position top right and close to the center.,train
breast_tumors_ct_scan/train_masks/benign (155).png,benign (155).png,Can you describe the position of the tumor in the image?,The tumor is situated in the center and near the central area of the image.,The tumor is positioned in center and close to the center.,train
breast_tumors_ct_scan/train_masks/benign (156).png,benign (156).png,Where is the tumor located in the image?,The benign tumor is situated in the top right area and close to the center.,The tumor is situated in position top right and close to the center.,train
breast_tumors_ct_scan/train_masks/benign (157).png,benign (157).png,In which part of the image is the tumor situated?,"The benign tumor is situated in the top right portion of the image, far from the center.",In position top right and the tumor is far from the center of the image.,train
breast_tumors_ct_scan/train_masks/benign (158).png,benign (158).png,Can you describe the location of the tumor in the image?,The benign tumor is found in the top left part of the image and is not near the center.,The tumor is found in position top left and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (159).png,benign (159).png,Where is the tumor located in the image?,"The benign tumor is located in the top right area, away from the center.",The tumor is visible in position top right and away from the center.,train
breast_tumors_ct_scan/train_masks/benign (16).png,benign (16).png,Is the tumor positioned towards the center of the image?,The tumor is not near the center and is located in the top right area.,Position top right shows the tumor and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (160).png,benign (160).png,Can you describe the location of the tumor in the image?,The benign tumor is positioned in the top left part of the image and is located away from the center.,The tumor is located in position top left and far from the center.,train
breast_tumors_ct_scan/train_masks/benign (161).png,benign (161).png,Where is the tumor located in the image?,"The benign tumor is situated in the top right area, far from the center.",The tumor is situated in position top right and far from the center.,train
breast_tumors_ct_scan/train_masks/benign (162).png,benign (162).png,In which part of the image is the tumor situated?,"The tumor, which is benign, is situated in the top left region and is not near the center.",The tumor is visible in position top left and away from the center.,train
breast_tumors_ct_scan/train_masks/benign (164).png,benign (164).png,What part of the image shows the tumor?,"The tumor, which is benign, is visible in the top left part of the image and is not centered.",Position top left reveals the tumor and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (166).png,benign (166).png,Where is the tumor located in the image?,"The benign tumor is located in the top right area, away from the center.",The tumor is visible in position top right and away from the center.,train
breast_tumors_ct_scan/train_masks/benign (167).png,benign (167).png,In which region of the image is the tumor found?,"The tumor, which is benign, is situated in the top right area near the center.",The tumor is identified in position top right and close to the center.,train
breast_tumors_ct_scan/train_masks/benign (168).png,benign (168).png,Can you describe the location of the tumor in the image?,The benign tumor is found in the central area of the image.,The tumor is identified in position center and close to the center.,train
breast_tumors_ct_scan/train_masks/benign (169).png,benign (169).png,Where is the tumor located in the image?,The benign tumor is located in the top left area and is not near the center.,Position top left contains the tumor and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (17).png,benign (17).png,In which part of the image is the tumor situated?,"The tumor, which is benign, is situated in the top right region and is not near the center.",The tumor is present in position top right and away from the center.,train
breast_tumors_ct_scan/train_masks/benign (170).png,benign (170).png,Can you describe the location of the tumor in the image?,The benign tumor appears to be positioned in the center of the image.,The tumor appears to be located in position center and which is near the center.,train
breast_tumors_ct_scan/train_masks/benign (172).png,benign (172).png,Where is the tumor located in the image?,The benign tumor is located in the top left area and is not near the center.,The tumor is found in position top left and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (174).png,benign (174).png,What is the position of the tumor in the image?,"The tumor, which is benign, is located near the center in the top left area.",In position top left and the tumor is situated near the center.,train
breast_tumors_ct_scan/train_masks/benign (175).png,benign (175).png,Can you describe the location of the tumor in the image?,The benign tumor is found in the central and near-central regions of the image.,The tumor is located in position center and near the center.,train
breast_tumors_ct_scan/train_masks/benign (176).png,benign (176).png,Where is the tumor located in the image?,"The benign tumor is located in the top left area, near the center.",The tumor is found in position top left and which is near the center.,train
breast_tumors_ct_scan/train_masks/benign (177).png,benign (177).png,In which part of the image is the tumor found?,"The tumor, which is benign, is situated in the top left region and is distant from the center.",The tumor is detected in position top left and far from the center.,train
breast_tumors_ct_scan/train_masks/benign (178).png,benign (178).png,Can you describe the location of the tumor in the image?,The benign tumor is found in the center and close to the center of the image.,The tumor is present in position center and near the center.,train
breast_tumors_ct_scan/train_masks/benign (179).png,benign (179).png,Where is the tumor located in the image?,The benign tumor is positioned in the top left area and is far from the center.,The tumor is marked in position top left and far from the center.,train
breast_tumors_ct_scan/train_masks/benign (18).png,benign (18).png,What is the position of the tumor in the image?,"The tumor, which is benign, is situated in the central region of the image.",The tumor is marked in position center and near the center.,train
breast_tumors_ct_scan/train_masks/benign (180).png,benign (180).png,Can you describe the location of the tumor in the image?,The benign tumor is found in the top right region and also near the center.,The tumor is marked in position top right and near the center.,train
breast_tumors_ct_scan/train_masks/benign (182).png,benign (182).png,Where is the tumor located in the image?,"The benign tumor is located in the top right area, far from the center.",The tumor is located in position top right and far from the center.,train
breast_tumors_ct_scan/train_masks/benign (183).png,benign (183).png,What is the position of the tumor in the image?,"The tumor, which is benign, is found in the top left region near the center.",The tumor is situated in position top left and close to the center.,train
breast_tumors_ct_scan/train_masks/benign (184).png,benign (184).png,Can you describe the location of the tumor in the image?,The benign tumor is located in the top right portion of the image and is far from the center.,The tumor is marked in position top right and far from the center.,train
breast_tumors_ct_scan/train_masks/benign (185).png,benign (185).png,Where is the tumor located in the image?,The benign tumor is situated in the top right area and close to the center.,The tumor is observed in position top right and near the center.,train
breast_tumors_ct_scan/train_masks/benign (186).png,benign (186).png,What is the position of the tumor relative to the center of the image?,"The tumor is located near the center, and it is classified as benign.",In position center and the tumor is situated near the center.,train
breast_tumors_ct_scan/train_masks/benign (187).png,benign (187).png,Can you describe the location of the tumor in the image?,The benign tumor is found in the top left part of the image and is positioned far from the center.,The tumor is in position top left and far from the center.,train
breast_tumors_ct_scan/train_masks/benign (188).png,benign (188).png,Where is the tumor located in the image?,The benign tumor is located near the center of the image.,The tumor is marked in position center and near the center.,train
breast_tumors_ct_scan/train_masks/benign (189).png,benign (189).png,In which part of the image is the tumor situated?,"The tumor, classified as benign, is found in the top left region and is not close to the center.",Position top left contains the tumor and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (19).png,benign (19).png,Can you describe the location of the tumor in the image?,The benign tumor is located in the top right region and approximately at the center.,The tumor is located in position top right and near the center.,train
breast_tumors_ct_scan/train_masks/benign (190).png,benign (190).png,Where is the tumor located in the image?,The benign tumor is located in the bottom left and close to the center.,The tumor is identified in position bottom left and close to the center.,train
breast_tumors_ct_scan/train_masks/benign (191).png,benign (191).png,In which part of the image is the tumor situated?,"The tumor, which is benign, is situated in the top left region and is distant from the center.",The tumor is marked in position top left and far from the center.,train
breast_tumors_ct_scan/train_masks/benign (192).png,benign (192).png,In which area of the image is the benign tumor found?,The benign tumor is located near the center of the top right section.,Located in position top right and the tumor is near the center.,train
breast_tumors_ct_scan/train_masks/benign (193).png,benign (193).png,Where is the tumor located in the image?,"The benign tumor is located in the top right area, near the center.",Position top right contains the tumor and which is near the center.,train
breast_tumors_ct_scan/train_masks/benign (194).png,benign (194).png,In which region of the image is the tumor situated?,"The benign tumor is situated in the top right quadrant, not near the center.",The tumor is found in position top right and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (196).png,benign (196).png,Can you describe the location of the tumor in the image?,"The benign tumor is located in the top right portion of the image, away from the central area.",The tumor lies in position top right and away from the center of the image.,train
breast_tumors_ct_scan/train_masks/benign (197).png,benign (197).png,Where is the tumor located in the image?,The benign tumor is located near the center in the top right position.,Position top right reveals the tumor and which is near the center.,train
breast_tumors_ct_scan/train_masks/benign (198).png,benign (198).png,What is the position of the identified tumor?,"The tumor, which is benign, is situated in the top right area near the center.",The tumor is identified in position top right and close to the center.,train
breast_tumors_ct_scan/train_masks/benign (199).png,benign (199).png,In which region of the image is the benign tumor positioned?,"The benign tumor is located in the bottom left portion of the image, near the center.",The tumor lies in position bottom left and near the center of the image.,train
breast_tumors_ct_scan/train_masks/benign (2).png,benign (2).png,Where is the tumor located in the image?,"The benign tumor is situated in the bottom left area, near the center.",The tumor resides in position bottom left and close to the center.,train
breast_tumors_ct_scan/train_masks/benign (20).png,benign (20).png,In which part of the image is the tumor situated?,"The tumor, which is benign, is situated in the top right area and is not close to the center.",Position top right shows the tumor and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (200).png,benign (200).png,Can you describe the location of the tumor in the image?,"The benign tumor is positioned in the top left part of the image, away from the center.",The tumor resides in position top left and away from the center.,train
breast_tumors_ct_scan/train_masks/benign (201).png,benign (201).png,Where is the tumor located in the image?,The benign tumor is located in the top left area and near the center.,The tumor is marked in position top left and near the center.,train
breast_tumors_ct_scan/train_masks/benign (202).png,benign (202).png,Is the tumor positioned near the center of the image?,The tumor is not near the center; it is located in the top right portion of the image.,Position top right reveals the tumor and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (203).png,benign (203).png,What is the position of the tumor relative to the center of the image?,"The benign tumor is positioned in the top right, which is not near the center of the image.",Position top right reveals the tumor and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (204).png,benign (204).png,Where is the tumor located in the image?,"The benign tumor is located in the top left area, away from the center.",The tumor is found in position top left and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (205).png,benign (205).png,What is the position of the tumor in the image?,"The tumor, which is benign, is situated in the central area of the image.",The tumor is found in position center and which is near the center.,train
breast_tumors_ct_scan/train_masks/benign (207).png,benign (207).png,Can you describe the location of the tumor in the image?,The benign tumor is found in the central area of the image.,Located in position center and the tumor is near the center.,train
breast_tumors_ct_scan/train_masks/benign (208).png,benign (208).png,Where is the tumor located in the image?,"The benign tumor is located in the top left area of the image, away from the center.",The tumor is marked in position top left and far from the center.,train
breast_tumors_ct_scan/train_masks/benign (209).png,benign (209).png,In which part of the image is the tumor found?,"The tumor, which is benign, is positioned in the top right region and not near the center.",The tumor lies in position top right and away from the center of the image.,train
breast_tumors_ct_scan/train_masks/benign (21).png,benign (21).png,Can you describe the location of the tumor in the image?,"The benign tumor is positioned in the top right area, near the center of the image.",The tumor appears to be located in position top right and which is near the center.,train
breast_tumors_ct_scan/train_masks/benign (210).png,benign (210).png,Where is the tumor located in the image?,"The benign tumor is positioned in the bottom left area of the image, away from the center.",The tumor lies in position bottom left and away from the center of the image.,train
breast_tumors_ct_scan/train_masks/benign (211).png,benign (211).png,Is the tumor positioned towards the periphery of the image?,"The benign tumor is situated in the top right area, indicating a peripheral location.",Position top right reveals the tumor and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (212).png,benign (212).png,In which part of the image is the benign tumor found?,The benign tumor is found near the center of the top right section.,Located in position top right and the tumor is near the center.,train
breast_tumors_ct_scan/train_masks/benign (213).png,benign (213).png,Where is the tumor located in the image?,"The benign tumor is located in the top right area, far from the center.",The tumor is located in position top right and far from the center.,train
breast_tumors_ct_scan/train_masks/benign (214).png,benign (214).png,In which region of the image is the tumor situated?,"The tumor, which is benign, is situated in the top right portion of the image, not near the center.",The tumor is present in position top right and away from the center.,train
breast_tumors_ct_scan/train_masks/benign (215).png,benign (215).png,Can you describe the position of the tumor in the image?,The benign tumor is positioned in the top right part of the image and is far from the center.,The tumor is situated in position top right and far from the center.,train
breast_tumors_ct_scan/train_masks/benign (216).png,benign (216).png,Where is the tumor located in the image?,"The benign tumor is located in the top right area, far from the center.",The tumor is identified in position top right and far from the center.,train
breast_tumors_ct_scan/train_masks/benign (217).png,benign (217).png,In which part of the image is the tumor found?,"The tumor, which is benign, is situated in the top right region and is distant from the center.",The tumor is detected in position top right and far from the center.,train
breast_tumors_ct_scan/train_masks/benign (218).png,benign (218).png,In which part of the image is the tumor found?,"The benign tumor is found in the top right area, near the center of the image.",The tumor is detected in position top right and close to the center.,train
breast_tumors_ct_scan/train_masks/benign (219).png,benign (219).png,Where is the tumor located in the image?,"The benign tumor is located in the top right area, away from the center.",The tumor is found in position top right and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (22).png,benign (22).png,What is the position of the tumor in the image?,"The tumor, which is benign, is situated near the center of the image.",The tumor resides in position center and close to the center.,train
breast_tumors_ct_scan/train_masks/benign (220).png,benign (220).png,Can you describe the location of the tumor in the image?,The benign tumor is found in the top right region and is not positioned near the center of the image.,Position top right contains the tumor and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (221).png,benign (221).png,Where is the tumor located in the image?,"The benign tumor is located in the top right area, away from the center.",The tumor is observed in position top right and away from the center.,train
breast_tumors_ct_scan/train_masks/benign (222).png,benign (222).png,What is the position of the tumor in the image?,The tumor is located close to the central area of the image and is classified as benign.,The tumor is situated in position center and close to the center.,train
breast_tumors_ct_scan/train_masks/benign (223).png,benign (223).png,Can you describe the position of the tumor in the image?,"The benign tumor is positioned in the top left region of the image, away from the center.",The tumor is visible in position top left and away from the center.,train
breast_tumors_ct_scan/train_masks/benign (224).png,benign (224).png,Where is the tumor located in the image?,The benign tumor is located in the top left area and close to the center.,The tumor is identified in position top left and close to the center.,train
breast_tumors_ct_scan/train_masks/benign (225).png,benign (225).png,In which part of the image is the tumor found?,"The tumor, which is benign, is located in the top left region and is positioned away from the center.",The tumor is situated in position top left and far from the center.,train
breast_tumors_ct_scan/train_masks/benign (226).png,benign (226).png,Can you describe the location of the tumor in the image?,The benign tumor is found in the central area of the image.,The tumor is identified in position center and close to the center.,train
breast_tumors_ct_scan/train_masks/benign (227).png,benign (227).png,Where is the tumor located in the image?,The benign tumor is situated near the center in the bottom right position.,Position bottom right contains the tumor and which is near the center.,train
breast_tumors_ct_scan/train_masks/benign (228).png,benign (228).png,What is the position of the tumor in the image?,"The tumor, which is benign, is situated near the center of the top right area.",Position top right shows the tumor and which is near the center.,train
breast_tumors_ct_scan/train_masks/benign (229).png,benign (229).png,Can you describe the location of the tumor?,The benign tumor is found in the center and close to the center of the image.,The tumor is in position center and near the center.,train
breast_tumors_ct_scan/train_masks/benign (23).png,benign (23).png,Where is the tumor located in the image?,The benign tumor is located in the center and near the center of the image.,The tumor is present in position center and near the center.,train
breast_tumors_ct_scan/train_masks/benign (230).png,benign (230).png,In which region of the image is the tumor found?,"The benign tumor is found in the top left quadrant, positioned away from the center.",The tumor is visible in position top left and away from the center.,train
breast_tumors_ct_scan/train_masks/benign (231).png,benign (231).png,Can you describe the location of the tumor in the image?,The benign tumor is found in the central part of the image.,The tumor appears to be located in position center and which is near the center.,train
breast_tumors_ct_scan/train_masks/benign (232).png,benign (232).png,Where is the tumor located in the image?,The benign tumor is situated in the top left area and is far from the center.,The tumor is situated in position top left and far from the center.,train
breast_tumors_ct_scan/train_masks/benign (233).png,benign (233).png,What is the position of the tumor in the image?,"The tumor, which is benign, is situated close to the center.",Located in position center and the tumor is near the center.,train
breast_tumors_ct_scan/train_masks/benign (234).png,benign (234).png,Can you describe the position of the tumor in the image?,"The benign tumor is found in the top left region of the image, positioned away from the center.",The tumor is observed in position top left and away from the center.,train
breast_tumors_ct_scan/train_masks/benign (235).png,benign (235).png,Where is the tumor located in the image?,The benign tumor is located in the center and near the center of the image.,The tumor is observed in position center and near the center.,train
breast_tumors_ct_scan/train_masks/benign (236).png,benign (236).png,What is the position of the tumor in the image?,"The tumor, which is benign, is situated close to the center.",Position center contains the tumor and which is near the center.,train
breast_tumors_ct_scan/train_masks/benign (237).png,benign (237).png,What is the position of the tumor relative to the center?,"The tumor is positioned in the top right, which is away from the center of the image.",Position top right reveals the tumor and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (238).png,benign (238).png,Where is the tumor located in the image?,The benign tumor is located near the center of the image.,The tumor is marked in position center and near the center.,train
breast_tumors_ct_scan/train_masks/benign (24).png,benign (24).png,In which part of the image is the tumor situated?,"The tumor, which is benign, is situated close to the center.",The tumor resides in position center and close to the center.,train
breast_tumors_ct_scan/train_masks/benign (240).png,benign (240).png,Can you describe the position of the tumor in the image?,The tumor is situated near the central area of the image and is close to the center.,The tumor is positioned in center and close to the center.,train
breast_tumors_ct_scan/train_masks/benign (241).png,benign (241).png,Where is the tumor located in the image?,"The benign tumor is positioned in the top left area, away from the center.",The tumor resides in position top left and away from the center.,train
breast_tumors_ct_scan/train_masks/benign (242).png,benign (242).png,Is the tumor positioned towards the left side of the image?,"The benign tumor is situated in the bottom left region, away from the central area.",The tumor appears to be located in position bottom left and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (243).png,benign (243).png,Can you describe the location of the tumor in the image?,The benign tumor is found in the central and near-central areas of the image.,The tumor is present in position center and near the center.,train
breast_tumors_ct_scan/train_masks/benign (244).png,benign (244).png,Where is the tumor located in the image?,The benign tumor is situated in the top right quadrant and is far from the center.,In position top right and the tumor is situated far from the center.,train
breast_tumors_ct_scan/train_masks/benign (245).png,benign (245).png,In which part of the image is the tumor situated?,"The tumor, which is benign, is situated in the top right region and is not near the center.",The tumor is found in position top right and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (247).png,benign (247).png,Can you describe the location of the tumor in the image?,"The benign tumor is found in the top left position, away from the center of the image.",The tumor is observed in position top left and away from the center.,train
breast_tumors_ct_scan/train_masks/benign (248).png,benign (248).png,Where is the tumor located in the image?,"The benign tumor is situated in the bottom right area, near the center.",The tumor resides in position bottom right and close to the center.,train
breast_tumors_ct_scan/train_masks/benign (249).png,benign (249).png,In which part of the image is the tumor found?,"The tumor, which is benign, is located in the top left region and is not near the center.",The tumor is observed in position top left and away from the center.,train
breast_tumors_ct_scan/train_masks/benign (250).png,benign (250).png,In which part of the image is the tumor found?,The benign tumor is found near the center in the bottom right section of the image.,Position bottom right shows the tumor and which is near the center.,train
breast_tumors_ct_scan/train_masks/benign (251).png,benign (251).png,Where is the tumor located in the image?,"The benign tumor is located in the top right area, away from the center.",The tumor is identified in position top right and far from the center.,train
breast_tumors_ct_scan/train_masks/benign (252).png,benign (252).png,In which part of the image is the tumor situated?,"The tumor, which is benign, is located in the top left region and is distant from the center.",The tumor is positioned in top left and far from the center.,train
